workflow_id,workflow_length,number_of_agents,workflow_depth,execution_time,cost,retry_count,success,parallel_enabled,mutation_type_encoded,fitness
Application_1116264042,22,4,11,3965947.177,5000,2,0.5,0,0,48.9
Application_1118236712,25,4,13,2991258.548,15000,4,0.5,0,0,44.96
Application_111956933,38,7,13,4964323.56,5000,3,0.5,0,0,46.22
Application_1120819670,41,7,18,839956.481,6850,7,0.25,0,0,37.49
Application_1121433929,49,7,19,1121470.525,5000,7,0.33333333333333337,0,0,40.09
Application_1122657249,69,11,20,1038697.712,20000,12,0.5,0,0,45.79
Application_1122832658,27,6,14,702100.02,25000,5,0.0,0,0,26.58
Application_1123503301,27,5,14,694065.902,0,4,0.6666666666666667,0,0,57.28
Application_112699480,46,7,16,873261.148,0,10,0.6,0,0,51.92
Application_112781124,51,8,16,506455.708,7000,11,0.19999999999999996,0,0,37.02
Application_1128910355,39,8,16,4662934.81,0,6,0.75,0,0,52.81
Application_1130101747,46,10,18,1624812.392,10500,11,0.25,0,0,35.18
Application_1130151790,18,3,11,2639498.027,27000,2,0.5,0,0,48.38
Application_1132809491,52,10,18,2648577.614,8500,11,0.6666666666666667,0,0,50.52
Application_1134274536,45,8,17,831217.939,17000,7,0.16666666666666663,0,0,33.37
Application_1134992016,35,9,18,864146.789,6000,6,0.0,0,0,27.47
Application_1137970429,38,8,18,417750.839,5500,6,0.0,0,0,29.73
Application_1138826038,62,12,18,1189163.117,5000,13,0.5714285714285714,0,0,49.43
Application_1139007530,44,8,18,2220202.081,15000,8,0.4,0,0,39.87
Application_1141114991,29,4,14,1966163.547,15000,5,0.6666666666666667,0,0,50.91
Application_1142700916,22,4,13,2806312.539,21000,3,0.0,0,0,26.68
Application_1148109575,21,3,13,2752112.357,16000,2,0.5,0,0,49.14
Application_1148948732,62,11,16,1753950.655,0,15,0.4285714285714286,0,0,42.93
Application_1150278126,35,7,16,850718.335,35000,7,0.33333333333333337,0,0,38.53
Application_1151254747,36,7,13,4791392.414,5000,5,0.6666666666666667,0,0,48.99
Application_1152136689,94,11,17,2232702.859,43000,21,0.5454545454545454,0,0,43.43
Application_1152306667,45,7,18,2148944.778,10000,8,0.5,0,0,44.37
Application_1152826096,29,5,13,792495.571,17500,6,0.5,0,0,46.81
Application_1152947139,26,3,12,2672304.539,25000,2,0.5,0,0,48.51
Application_1154138569,27,6,13,3024706.393,15000,5,0.5,0,0,42.93
Application_1158729550,67,10,17,1801312.68,15000,15,0.4,0,0,40.51
Application_1158965741,52,11,19,3861712.533,5000,11,0.6,0,0,46.98
Application_1159615731,34,7,18,937326.692,18000,5,0.25,0,0,36.26
Application_1159653941,18,3,11,2649428.428,0,2,0.5,0,0,50.53
Application_1162039868,26,5,13,2989300.331,15000,4,0.6666666666666667,0,0,51.63
Application_1164128745,24,4,14,878336.101,11500,3,0.33333333333333337,0,0,44.31
Application_1164977817,31,8,14,870837.033,12500,7,0.0,0,0,26.93
Application_1172125329,31,5,16,847571.429,6000,3,0.33333333333333337,0,0,44.86
Application_1173759169,51,9,19,2856356.114,50000,7,0.6,0,0,44.3
Application_1174199914,39,8,18,1254974.829,6000,6,0.19999999999999996,0,0,34.33
Application_117521403,48,10,19,877292.215,15000,8,0.16666666666666663,0,0,33.37
Application_117590654,40,7,18,1648729.534,25000,6,0.4,0,0,39.98
Application_1179942266,36,7,16,742489.684,50000,7,0.6666666666666667,0,0,51.08
Application_1185170675,25,5,11,4466640.562,10000,4,0.0,0,0,24.14
Application_1185248307,28,6,11,2671854.271,10000,7,0.5,0,0,43.71
Application_1186082182,29,4,13,4054669.279,6000,2,0.5,0,0,48.75
Application_1191639983,30,4,17,579024.324,7000,3,0.33333333333333337,0,0,45.94
Application_1191743894,46,8,18,934528.283,15000,9,0.4,0,0,42.51
Application_119348284,32,7,16,2299933.698,7000,5,0.5,0,0,44.4
Application_1193723578,47,8,18,1050250.039,20000,8,0.19999999999999996,0,0,33.75
Application_1193728293,28,6,16,1116306.318,15000,4,0.0,0,0,27.97
Application_1195396325,74,10,18,693818.027,15000,15,0.6666666666666667,0,0,54.09
Application_1195564156,25,5,11,3859419.692,0,4,0.0,0,0,25.38
Application_1195697898,76,11,18,2320484.103,25000,16,0.5555555555555556,0,0,45.16
Application_1197857445,35,7,13,4830167.848,6000,7,0.33333333333333337,0,0,35.55
Application_1203113229,41,6,13,2064666.138,5000,2,0.5,0,0,50.89
Application_1203647789,39,7,18,1041219.975,10000,6,0.19999999999999996,0,0,34.58
Application_1203742645,53,9,15,914760.279,40000,7,0.6,0,0,48.58
Application_1204730406,36,7,16,758261.611,15000,6,0.19999999999999996,0,0,35.15
Application_1206916210,29,4,13,3697790.987,5000,2,0.5,0,0,49.11
Application_1207038345,30,7,14,2729009.387,50000,6,0.33333333333333337,0,0,33.77
Application_1210637698,19,3,13,248410.894,40000,1,0.5,0,0,56.55
Application_1220146067,38,8,14,681188.592,18000,10,0.33333333333333337,0,0,40.57
Application_1220810898,76,12,16,1223178.101,15000,19,0.33333333333333337,0,0,39.02
Application_1221068482,53,11,18,1852542.622,5000,12,0.6,0,0,49.22
Application_122336824,24,4,13,483349.205,24000,3,0.6666666666666667,0,0,58.47
Application_1224943696,29,5,13,4364877.692,20000,4,0.5,0,0,43.41
Application_1226577675,30,5,16,744632.885,10000,4,0.6666666666666667,0,0,56.27
Application_1227771244,52,10,19,530229.275,8000,9,0.0,0,0,28.8
Application_1231177181,50,7,18,830515.057,50000,9,0.4,0,0,40.07
Application_1231200933,26,5,13,4275215.855,6000,3,0.0,0,0,26.59
Application_1231383244,64,11,18,2403185.587,12500,13,0.33333333333333337,0,0,37.16
Application_1231427778,108,17,19,5025878.823,25000,27,0.25,0,0,30.58
Application_1233293090,22,4,13,2670582.832,15000,3,0.0,0,0,27.31
Application_1233495129,27,4,13,2737128.588,19000,4,0.0,0,0,24.91
Application_1234535641,27,5,13,4977508.803,8000,3,0.5,0,0,45.97
Application_1235595897,28,5,13,3187328.317,7000,3,0.6666666666666667,0,0,54.07
Application_123754331,36,7,16,530830.021,5000,6,0.19999999999999996,0,0,37.04
Application_1238272674,81,14,18,1615146.538,8000,19,0.5,0,0,45.4
Application_123987545,66,12,18,2932529.629,0,14,0.5,0,0,44.22
Application_124239405,61,13,18,1558457.093,16500,16,0.5,0,0,44.83
Application_1246596843,34,7,16,1190655.623,21000,5,0.0,0,0,25.29
Application_1247929652,49,10,16,1421893.318,30000,11,0.16666666666666663,0,0,30.7
Application_1248349972,61,12,18,2725981.978,5000,14,0.5714285714285714,0,0,46.9
Application_1250134245,27,4,13,4831558.129,5000,3,0.5,0,0,46.3
Application_1250493532,59,12,19,2880922.654,25000,12,0.33333333333333337,0,0,35.61
Application_1250825577,26,5,14,616757.552,6500,4,0.33333333333333337,0,0,43.79
Application_1251233599,53,10,20,1120115.966,30000,10,0.6,0,0,48.76
Application_1251541081,16,2,11,260583.432,15000,1,0.5,0,0,58.41
Application_1251733219,29,5,13,3883829.759,6000,2,0.5,0,0,48.89
Application_1252717204,42,7,15,5536474.986,20600,6,0.33333333333333337,0,0,33.97
Application_1254852969,12,3,7,159796.108,5000,1,1.0,0,0,80.7
Application_125495187,35,7,16,1350880.045,5000,6,0.75,0,0,56.19
Application_1257233322,38,8,16,845873.994,0,7,0.19999999999999996,0,0,36.01
Application_1257947863,41,7,17,696656.535,5000,6,0.19999999999999996,0,0,36.21
Application_1259601023,47,10,15,706354.911,10000,13,0.33333333333333337,0,0,41.1
Application_1260145017,37,8,18,2179744.827,5000,6,0.5,0,0,44.73
Application_1260340497,28,5,13,2889314.674,25000,4,0.0,0,0,24.27
Application_1261348817,27,5,13,2928214.091,15000,4,0.0,0,0,25.03
Application_1266995739,51,9,18,699993.421,7000,14,0.0,0,0,28.03
Application_1267839101,28,6,16,1731508.603,15000,4,0.0,0,0,26.63
Application_1268592022,40,8,19,1520486.543,10000,6,0.25,0,0,35.43
Application_1268984213,54,8,13,4183991.226,5000,5,0.0,0,0,22.74
Application_1271512732,25,4,13,2723468.279,5000,4,0.5,0,0,46.05
Application_127178924,45,11,14,781626.095,0,13,0.6666666666666667,0,0,54.92
Application_1274070913,22,3,11,2652422.301,5000,2,0.5,0,0,50.13
Application_1274270315,43,11,16,1535823.337,16500,10,0.0,0,0,24.87
Application_1277100580,45,7,16,695018.95,7000,9,0.6666666666666667,0,0,54.72
Application_1277569989,36,7,14,4524494.194,19000,6,0.5,0,0,41.38
Application_1279706099,27,5,14,685509.579,10000,5,0.0,0,0,27.86
Application_1279993072,31,6,17,1264667.137,10000,3,0.33333333333333337,0,0,43.32
Application_1280841912,49,8,16,596187.061,6000,10,0.0,0,0,28.6
Application_1281827491,53,14,18,1438371.967,6000,12,0.0,0,0,25.91
Application_1282765506,63,13,19,1085972.795,6500,12,0.0,0,0,26.73
Application_1282768200,52,8,19,1695825.892,5000,9,0.5714285714285714,0,0,48.35
Application_1283463965,60,13,17,2662369.411,29000,15,0.6,0,0,46.2
Application_1283783929,26,4,13,2756606.47,50000,3,0.5,0,0,44.41
Application_128641394,34,6,16,495180.802,35000,6,0.6666666666666667,0,0,53.51
Application_1290239114,34,7,16,780315.652,15000,6,0.33333333333333337,0,0,40.39
Application_1291947335,48,8,16,1181481.618,5000,13,0.5,0,0,46.59
Application_1292292855,46,8,20,1181451.549,13500,7,0.19999999999999996,0,0,33.91
Application_1292397670,61,10,18,1643437.588,26000,13,0.5,0,0,43.91
Application_1294530310,31,6,16,1703533.227,10000,5,0.25,0,0,35.08
Application_1295329022,94,21,17,3563231.259,12500,21,0.19999999999999996,1,0,30.63
Application_1296151288,63,11,16,1302412.279,0,15,0.5714285714285714,0,0,49.55
Application_1296362396,52,12,18,1868117.502,25000,11,0.8,0,0,55.6
Application_1297886565,26,5,13,4363251.3,14000,3,0.0,0,0,25.89
Application_1298220841,41,9,14,1183925.361,5800,11,0.6666666666666667,0,0,53.19
Application_1299976284,12,2,10,33904.06,5000,0,1.0,0,0,87.43
Application_1300843234,45,9,18,784423.887,12500,8,0.0,0,0,27.24
Application_1301009504,31,6,13,2727913.401,35000,7,0.33333333333333337,0,0,34.98
Application_1301488246,44,8,18,916032.531,5000,7,0.6666666666666667,0,0,54.04
Application_1301925609,43,9,16,941535.803,35000,11,0.25,0,0,34.89
Application_1302654957,21,3,13,2753439.181,37500,2,0.5,0,0,47.41
Application_1304234740,70,13,18,2133292.698,50000,17,0.5,0,0,41.19
Application_130460765,41,8,17,1314566.385,20000,8,0.33333333333333337,0,0,38.4
Application_1305526250,73,15,18,1279400.195,25000,18,0.7142857142857143,0,0,53.32
Application_1307111345,41,10,16,1105504.343,20000,9,0.0,0,0,25.6
Application_1308403282,39,6,19,1525934.746,18000,6,0.25,0,0,34.77
Application_1310063638,34,7,16,594131.592,8000,7,0.0,0,0,28.45
Application_1312956122,48,9,18,758882.787,12000,10,0.19999999999999996,0,0,35.38
Application_1313879847,34,5,11,4918521.289,20000,2,0.5,0,0,47.04
Application_1315608886,44,9,18,1485612.976,15000,9,0.0,0,0,25.1
Application_131619654,37,6,16,1110846.598,25000,6,0.4,0,0,41.18
Application_1316947913,28,5,13,3140572.933,40000,4,0.0,0,0,22.81
Application_1321130007,63,13,19,3403753.153,45000,12,0.4285714285714286,0,0,37.31
Application_1321331571,25,4,13,4006702.253,20000,2,0.5,0,0,47.67
Application_1326688469,25,5,13,2757161.132,35000,4,0.33333333333333337,0,0,36.94
Application_1327252496,102,13,16,2394471.01,0,24,0.5384615384615384,0,0,46.38
Application_1331441624,62,10,18,2425840.625,25000,13,0.125,0,0,27.8
Application_133175864,26,3,11,2632161.604,0,2,0.5,0,0,50.55
Application_1332804972,27,5,13,4120105.594,7500,3,0.5,0,0,46.58
Application_1333957806,41,5,16,1016895.87,0,8,0.4,0,0,43.45
Application_1334307261,31,5,17,863583.769,5000,3,0.33333333333333337,0,0,44.88
Application_13372270,27,5,16,1099181.168,5000,3,0.33333333333333337,0,0,44.15
Application_1339153511,78,11,18,1348205.653,12000,17,0.30000000000000004,0,0,37.63
Application_1340833880,66,13,17,2730942.623,10000,15,0.8,0,0,55.64
Application_1340887420,29,7,14,1831432.409,15000,6,0.0,0,0,24.46
Application_1341760659,33,8,16,935002.156,9500,6,0.33333333333333337,0,0,40.28
Application_1351256522,31,8,11,4463898.568,17000,7,0.0,0,0,21.58
Application_1351535871,22,4,13,2713675.724,7500,3,0.0,0,0,27.86
Application_1352321084,25,5,13,2798488.877,35000,4,0.5,0,0,43.56
Application_1353914944,25,4,14,844630.41,0,3,0.6666666666666667,0,0,58.69
Application_1354753416,35,6,15,1194697.765,9000,7,0.0,0,0,26.24
Application_1355798622,30,6,13,4571347.27,15000,4,0.6666666666666667,0,0,50.33
Application_1357431492,21,3,13,2720426.051,5000,2,0.5,0,0,50.05
Application_1362293013,47,7,17,1440956.038,21500,6,0.16666666666666663,0,0,31.34
Application_1363165385,22,5,13,443998.222,35000,3,0.0,0,0,31.18
Application_1363980603,22,5,13,446880.309,7500,3,0.0,0,0,33.36
Application_1364058057,66,10,16,4480426.965,23500,17,0.4285714285714286,0,0,38.19
Application_1365381023,33,7,13,4815085.61,5000,6,0.33333333333333337,0,0,35.64
Application_1366775062,28,5,15,861738.0,13000,3,0.33333333333333337,0,0,44.25
Application_1367358151,25,3,13,2750506.496,10000,4,0.5,0,0,45.62
Application_1368129455,45,8,18,947061.569,14000,7,0.4,0,0,42.55
Application_1369910658,46,9,18,903024.294,5000,10,0.5,0,0,47.41
Application_1370564184,51,9,16,950094.116,0,12,0.16666666666666663,0,0,34.33
Application_1370588808,22,4,13,2818199.436,25000,3,0.0,0,0,26.34
Application_1373752989,39,8,18,1894363.915,9750,7,0.5,0,0,44.77
Application_1374020543,86,11,16,3814854.904,30000,22,0.7,0,0,49.02
Application_1377264777,45,7,18,699880.871,6000,9,0.19999999999999996,0,0,36.11
Application_1378152317,22,6,13,685818.794,5000,3,0.0,0,0,32.25
Application_1380878419,46,7,16,753565.348,35000,9,0.7142857142857143,0,0,54.14
Application_1382673202,28,6,16,668470.429,7000,4,0.0,0,0,30.17
Application_1386615618,20,4,13,431959.879,50000,2,0.0,0,0,32.06
Application_1388535332,36,9,16,1041517.119,17500,7,0.5,0,0,45.98
Application_138867953,59,13,19,3149439.02,38000,11,0.5,0,0,40.96
Application_1393839820,22,4,11,3589058.79,5000,2,0.5,0,0,49.21
Application_1395142997,37,6,16,1125281.7,20000,8,0.25,0,0,35.54
Application_1397601234,21,4,13,832247.36,17500,2,0.5,0,0,52.66
Application_1397856354,20,3,11,2829957.629,0,3,0.5,0,0,48.33
Application_1399527891,45,7,13,3866111.126,7000,6,0.6666666666666667,0,0,49.49
Application_1400868306,35,6,14,692479.529,25000,9,0.0,0,0,26.62
Application_140339738,36,10,13,3834154.695,11000,8,0.0,0,0,22.52
Application_1403474196,36,9,14,1972504.981,25000,9,0.33333333333333337,0,0,36.76
Application_1404826562,40,8,15,3886855.06,13000,5,0.75,0,0,52.32
Application_1405057301,43,9,18,915177.73,10000,9,0.4,0,0,42.97
Application_1405679737,102,23,18,6857425.331,5000,34,0.7142857142857143,1,0,49.8
Application_1408374544,18,3,11,2651805.883,25000,2,0.5,0,0,48.53
Application_140895599,33,6,13,3784437.912,6000,6,0.5,0,0,42.96
Application_1409118214,33,5,17,679423.158,15000,4,0.33333333333333337,0,0,42.82
Application_1409353979,32,5,16,1100499.078,27200,5,0.6666666666666667,0,0,51.7
Application_1409487195,37,8,13,4208705.446,10000,8,0.33333333333333337,0,0,35.65
Application_141242052,42,8,18,804109.937,5000,7,0.4,0,0,43.77
Application_1413308979,23,5,13,597740.935,6000,3,0.5,0,0,52.59
Application_1416762147,96,17,19,4808586.281,5000,23,0.4,0,0,38.31
Application_1417516413,22,4,11,4635855.357,5000,2,0.5,0,0,48.43
Application_1420077883,72,14,19,3131360.126,27500,20,0.4,0,0,37.82
Application_142048246,69,13,18,854572.863,6500,20,0.5,0,0,47.46
Application_1421205189,40,8,18,1524897.073,10000,7,0.0,0,0,25.42
Application_1421234379,36,5,17,578188.247,14000,3,0.6666666666666667,0,0,58.72
Application_1425008735,39,8,18,593378.688,10000,6,0.19999999999999996,0,0,36.3
Application_1425009896,38,8,16,2062678.423,25000,9,0.0,0,0,23.3
Application_1426271838,57,9,16,803304.904,35000,16,0.4,0,0,41.37
Application_14270635,46,11,18,940596.814,7500,10,0.0,0,0,27.09
Application_1427678905,41,7,16,1182313.8,10000,7,0.16666666666666663,0,0,32.86
Application_1428307326,27,5,14,590331.059,25000,5,0.0,0,0,27.11
Application_1428685815,21,3,13,2665455.656,10000,2,0.5,0,0,49.71
Application_1428995636,28,5,16,532754.005,5500,3,0.6666666666666667,0,0,59.65
Application_1430471697,25,4,13,3795972.262,5000,2,0.5,0,0,49.03
Application_1432907447,33,7,16,1539718.161,0,6,0.25,0,0,36.19
Application_1434477082,49,10,16,2835416.701,20000,11,0.75,0,0,52.72
Application_1436618564,26,5,13,354853.055,15500,5,0.0,0,0,29.42
Application_1436780800,22,4,11,3011125.572,0,2,0.5,0,0,50.14
Application_1439119047,44,7,16,786335.175,0,9,0.6,0,0,52.24
Application_14401241,33,6,13,4189429.984,15000,2,0.5,0,0,47.93
Application_1440936696,31,7,16,942731.791,7500,5,0.33333333333333337,0,0,40.42
Application_1441584020,60,7,20,393921.617,35000,9,0.7142857142857143,0,0,56.12
Application_144264435,46,9,18,643219.173,6500,9,0.4,0,0,44.33
Application_1443667725,28,6,16,676399.563,10000,4,0.0,0,0,29.9
Application_1444519141,47,9,19,648714.315,7500,9,0.4,0,0,44.22
Application_1446096185,49,10,17,1557482.376,0,10,0.0,0,0,26.15
Application_1447778468,37,10,17,1447209.148,5000,6,0.33333333333333337,0,0,39.31
Application_1447851462,49,5,16,1292556.694,23000,11,0.6666666666666667,0,0,51.55
Application_1448214642,58,10,19,1051522.316,8000,10,0.2857142857142857,0,0,38.14
Application_145047168,25,5,13,2927377.134,5000,4,0.5,0,0,45.83
Application_1452087651,26,5,13,4119758.608,5000,3,0.0,0,0,26.79
Application_1453762207,36,6,16,928008.362,9500,7,0.5,0,0,46.97
Application_1456924666,21,5,11,2825585.239,12500,4,0.0,0,0,25.34
Application_1461377869,43,9,18,1099094.182,20000,8,0.19999999999999996,0,0,33.62
Application_1461440233,27,4,13,4983132.657,11000,3,0.5,0,0,45.72
Application_1461629716,18,3,11,2671981.348,16000,2,0.5,0,0,49.23
Application_1462160624,29,6,16,862130.358,5000,4,0.33333333333333337,0,0,42.89
Application_1462703151,34,6,16,656126.74,5000,6,0.5,0,0,48.39
Application_1462709587,43,8,18,609776.965,11000,8,0.19999999999999996,0,0,36.13
Application_1465506786,40,7,16,1289232.669,32000,8,0.19999999999999996,0,0,32.17
Application_1465521095,33,8,16,767646.071,15000,5,0.33333333333333337,0,0,40.44
Application_1467707739,41,6,16,766768.154,0,6,0.5,0,0,48.31
Application_1468021532,50,8,16,932462.973,15000,10,0.6,0,0,50.52
Application_1470184564,34,7,16,1728606.419,5000,6,0.5,0,0,45.43
Application_1471099537,30,5,15,688690.718,10000,5,0.0,0,0,27.84
Application_1474017032,53,10,17,1108338.816,15000,12,0.4,0,0,41.99
Application_1476922534,75,12,19,6485449.325,6000,16,0.16666666666666663,0,0,27.99
Application_1478226284,42,10,16,3595100.84,26600,10,0.5,0,0,41.47
Application_1482153042,46,6,19,665624.401,8000,6,0.8,0,0,60.1
Application_1484759598,50,10,18,2468064.811,19000,11,0.4,0,0,39.23
Application_1484851617,22,3,11,2662803.776,7500,2,0.5,0,0,49.92
Application_1485695068,42,8,13,3675317.394,15000,7,0.33333333333333337,0,0,35.67
Application_1486099425,26,4,13,2740003.853,5000,4,0.6666666666666667,0,0,52.7
Application_1487522985,40,9,19,3098749.125,5000,6,0.25,0,0,33.65
Application_1487601558,59,11,18,943928.74,10000,13,0.1428571428571429,0,0,32.59
Application_1488592654,48,11,15,3616567.995,0,13,0.75,0,0,53.58
Application_1492351094,40,7,19,1437921.688,12000,6,0.25,0,0,35.44
Application_1493542155,24,4,13,4278853.634,35000,2,0.0,0,0,26.27
Application_1494501575,62,9,18,1451149.547,35000,11,0.625,0,0,48.57
Application_1498056352,45,7,13,4651304.721,26500,6,0.5,0,0,40.7
Application_1498877057,24,4,13,2718396.364,16000,3,0.6666666666666667,0,0,53.84
Application_1499869275,55,11,16,3678320.025,30000,13,0.5,0,0,41.13
Application_1502516207,26,5,14,1006307.213,0,4,0.33333333333333337,0,0,42.82
Application_1503421831,37,7,19,916349.281,10000,5,0.25,0,0,36.97
Application_1503474590,34,4,16,773020.451,16000,6,0.33333333333333337,0,0,40.34
Application_150460419,24,5,13,695746.479,8000,4,0.0,0,0,29.97
Application_1506426720,24,4,14,488651.967,0,3,0.33333333333333337,0,0,47.02
Application_1507218840,28,5,15,1307299.756,16000,3,0.33333333333333337,0,0,42.74
Application_1507561607,33,5,16,347984.838,6000,4,0.4,0,0,48.24
Application_1508092841,38,8,16,685484.236,15000,7,0.19999999999999996,0,0,35.46
Application_1508103415,43,7,16,1661136.333,0,8,0.16666666666666663,0,0,32.62
Application_1513129576,30,5,16,589693.839,10000,4,0.6666666666666667,0,0,56.98
Application_1514861341,36,6,13,4210732.699,7000,3,0.6666666666666667,0,0,53.23
Application_1518753356,28,6,16,1387746.551,5000,4,0.0,0,0,28.1
